"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789535472899043666","Sun May 12 11:20:16 +0000 2024","2","@ViantyTJP @henrysubiakto Yg dikorbankan adalah nama baik institusi. Belum lg petugas Bea cukai yg diperbatasan berangkat pagi pulang sore baca di TL sdh diserang dg berita yg katanya Emang agak lain prof komunikasi nih.","1789616579795378186","","ViantyTJP","in","Jawa Timur","0","1","0","https://x.com/aven_januar/status/1789616579795378186","108092768","aven_januar"
"1789274627245744277","Sat May 11 22:37:37 +0000 2024","2","@rahmaut Mungkin istilah yg tepat Bea masuk bukan Cukai ..","1789424650042134835","","rahmaut","in","Turin, Piedmont","0","0","0","https://x.com/Ijal2311/status/1789424650042134835","1162447333","Ijal2311"
"1789207753644532057","Sat May 11 11:29:37 +0000 2024","2","@aasikinn27 Kan itu saya tulis juga ada denda yang jumlahnya fantastis. Itu mobil setelah pameran akan dibawa balik Malaysia tapi di persulit. Kasus dari tahun 2019-2024 kok gak selesai... Coba kamu baca link ini https://t.co/hdG9xdA3Wx","1789256543080259993","","aasikinn27","in","","0","1","0","https://x.com/_riverheaven/status/1789256543080259993","975389335775199232","_riverheaven"
"1789498661212434495","Sun May 12 05:49:56 +0000 2024","20","@tvOneNews Korupsi di Bea Cukai itu sudah mendarah daging sehingga udah gak sadar apa yg dilakukan dlm memungut bea itu diluar batas dan merugikan rakyat. Selamat menikmati uang haram .","1789533449155658102","","tvOneNews","in","","0","1","1","https://x.com/Cakchus2/status/1789533449155658102","1417722931157684231","Cakchus2"
"1789466743863476663","Sun May 12 05:16:18 +0000 2024","11","@DenaKubang81 Cek toko material bisi jual keusik non bea cukai","1789524984056217731","","DenaKubang81","in","Ciamis, Indonesia","0","2","0","https://x.com/UusRsd/status/1789524984056217731","212462850","UusRsd"
"1789258135728767110","Sat May 11 11:35:57 +0000 2024","2","Bea cukai ketagihan trending ","1789258135728767110","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/rahabganendra/status/1789258135728767110","70414308","rahabganendra"
"1789131076256116779","Sat May 11 03:11:03 +0000 2024","18","Bea cukai vs pengusaha malaysia https://t.co/iJkFnapIDz","1789131076256116779","https://pbs.twimg.com/amplify_video_thumb/1789130728862863360/img/Bdn_M9AvCl-0-Ti1.jpg","","in","","2","6","1","https://x.com/cingreborn/status/1789131076256116779","1749643873612374017","cingreborn"
"1789135057556480039","Sat May 11 03:26:55 +0000 2024","178","Percayakah anda bahwa pemain bisnis jastip adalah orang seperti kita kebanyakan ini? Masuk akalkah mereka sukses dan kaya raya dari bisnis jastip itu tanpa hadir peran dari oknum bea cukai di belakang mereka?","1789135070512689287","","Leonita_Lestari","in"," Dimana-mana","4","3","16","https://x.com/Leonita_Lestari/status/1789135070512689287","1202108075231989760","Leonita_Lestari"
"1789312004059996488","Sat May 11 15:10:00 +0000 2024","0","Pegawai Bea Cukai Diduga Pungut Biaya Pajak Peti Jenazah 30 Persen Stafsus Menkeu Buka Suara https://t.co/gFTH5mHFFx","1789312004059996488","","","in","Kebayoran Lama, Indonesia","0","1","0","https://x.com/disway_id/status/1789312004059996488","1504683416314585090","disway_id"
"1789535439281664101","Sun May 12 06:37:53 +0000 2024","10","@ClarissaIcha Hadeeeuh berak lu @ClarissaIcha Gue udah dukung lu buat bongkar boroknya Bea Cukai. Taunya malah lu riding wave borok Bea Cukai.","1789545513202938172","","ClarissaIcha","in","Indonesia","2","0","0","https://x.com/Yahayukdong/status/1789545513202938172","244349394","Yahayukdong"
